sheet,cell,formula,cached_value
T1,D72,"=IF(F72=0,0,E76+VLOOKUP($C$17,B142:Q148,5))",0
T1,E72,"=VLOOKUP($C$17,B142:Q148,6)",0
T1,F72,"=VLOOKUP($C$17,B142:Q148,7)",0
T1,J72,"=IF(C72=0,0,(C72/100)*(D72/100)*F72)",0
T1,K72,=J72/0.8,0
T1,L72,"=IF(E72=0,0,VLOOKUP(E72,'Prix Matiere'!$A$4:$J$65,10))",0
T1,M72,=L72*K72,0
T1,N72,"=IF(J72=0,0,(4.7283*J72)+3)",0
T1,O72,=N72*MinuteMO,0
T1,Q72,"=IF(J72=0,0,J72*VLOOKUP(E72,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R72,"=IF(J72=0,0,Q72*VLOOKUP(E72,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C73,"=IF(F73=0,0,C44)",0
T1,D73,"=IF(F73=0,0,D76)",0
T1,E73,"=IF($C$17=""Aucun"",0,VLOOKUP($C$17,B142:Q148,6))",0
T1,F73,"=VLOOKUP($C$17,B142:Q148,7)",0
T1,J73,"=IF(C73=0,0,(C73/100)*(D73/100)*F73)",0
T1,K73,=J73/0.8,0
T1,L73,"=IF(E73=0,0,VLOOKUP(E73,'Prix Matiere'!$A$4:$J$65,10))",0
T1,M73,=L73*K73,0
T1,N73,"=IF(J73=0,0,(4.7283*J73)+3)",0
T1,O73,=N73*MinuteMO,0
T1,Q73,"=IF(J73=0,0,J73*VLOOKUP(E73,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R73,"=IF(J73=0,0,Q73*VLOOKUP(E73,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C74,"=IF(F74=0,0,E76)",0
T1,D74,"=IF(F74=0,0,D76)",0
T1,E74,"=IF($C$17=""Aucun"",0,VLOOKUP($C$17,B142:Q148,6))",0
T1,F74,"=VLOOKUP($C$17,B142:Q148,7)",0
T1,J74,"=IF(C74=0,0,(C74/100)*(D74/100)*F74)",0
T1,K74,=J74/0.8,0
T1,L74,"=IF(E74=0,0,VLOOKUP(E74,'Prix Matiere'!$A$4:$J$65,10))",0
T1,M74,=L74*K74,0
T1,N74,"=IF(J74=0,0,(4.7283*J74)+3)",0
T1,O74,=N74*MinuteMO,0
T1,Q74,"=IF(J74=0,0,J74*VLOOKUP(E74,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R74,"=IF(J74=0,0,Q74*VLOOKUP(E74,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C76,"=C44-VLOOKUP(C17,B142:Q148,5)",110.2
T1,D76,"=D44-VLOOKUP(C17,B142:Q148,5)",16
T1,E76,"=E44-VLOOKUP(C17,B142:Q148,5)",110.2
T1,C79,"=IF(F79=0,0,C83+VLOOKUP(C17,B142:Q148,8))-0.5",-0.5
T1,D79,"=IF(F79=0,0,E83+VLOOKUP(C17,B142:Q148,8))-0.5",-0.5
T1,E79,"=VLOOKUP(C17,B142:Q148,9)",0
T1,F79,"=VLOOKUP($C$17,B142:Q148,10)",0
T1,J79,"=IF(C79=0,0,(C79/100)*(D79/100)*F79)",0
T1,K79,=J79/0.8,0
T1,L79,"=IF(E79=0,0,VLOOKUP(E79,'Prix Matiere'!A4:J60,10))",0
T1,M79,=L79*K79,0
T1,N79,"=IF(J79=0,0,(3.94*J79)+5)",0
T1,O79,=N79*MinuteMO,0
T1,Q79,"=IF(J79=0,0,J79*VLOOKUP(E79,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R79,"=IF(J79=0,0,Q79*VLOOKUP(E79,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C80,"=IF(F80=0,0,C83+VLOOKUP(C17,B142:Q148,8))",0
T1,D80,"=IF(F80=0,0,D83)",0
T1,E80,"=VLOOKUP(C17,B142:Q148,9)",0
T1,F80,"=VLOOKUP($C$17,B142:Q148,10)",0
T1,J80,"=IF(C80=0,0,(C80/100)*(D80/100)*F80)",0
T1,K80,=J80/0.8,0
T1,L80,"=IF(E80=0,0,VLOOKUP(E80,'Prix Matiere'!A5:J61,10))",0
T1,M80,=L80*K80,0
T1,N80,"=IF(J80=0,0,(3.94*J80)+5)",0
T1,O80,=N80*MinuteMO,0
T1,Q80,"=IF(J80=0,0,J80*VLOOKUP(E80,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R80,"=IF(J80=0,0,Q80*VLOOKUP(E80,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C81,"=IF(F81=0,0,E83)",0
T1,D81,"=IF(F81=0,0,D83)",0
T1,E81,"=VLOOKUP(C17,B142:Q148,9)",0
T1,F81,"=VLOOKUP($C$17,B142:Q148,10)",0
T1,J81,"=IF(C81=0,0,(C81/100)*(D81/100)*F81)",0
T1,K81,=J81/0.8,0
T1,L81,"=IF(E81=0,0,VLOOKUP(E81,'Prix Matiere'!A6:J62,10))",0
T1,M81,=L81*K81,0
T1,N81,"=IF(J81=0,0,(3.94*J81)+5)",0
T1,O81,=N81*MinuteMO,0
T1,Q81,"=IF(J81=0,0,J81*VLOOKUP(E81,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R81,"=IF(J81=0,0,Q81*VLOOKUP(E81,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C83,"=C76-VLOOKUP(C17,B142:Q148,8)",110.2
T1,D83,"=D76-VLOOKUP(C17,B142:Q148,8)",16
T1,E83,"=E76-VLOOKUP(C17,B142:Q148,8)",110.2
T1,J84,"=IF(C84=0,0,(C84/100)*(D84/100)*F84)",0
T1,K84,=J84/0.8,0
T1,C86,"=IF(F86=0,0,C89)",0
T1,D86,"=IF(F86=0,0,10)",0
T1,E86,"=VLOOKUP(C17,B142:Q148,12)",0
T1,F86,"=VLOOKUP(C17,B142:Q148,13)",0
T1,J86,"=IF(C86=0,0,(C86/100)*(D86/100)*F86)",0
T1,K86,=J86/0.8,0
T1,L86,"=IF(E86=0,0,VLOOKUP(E86,'Prix Matiere'!$A$4:$J$65,10))",0
T1,M86,=L86*K86,0
T1,N86,"=IF(J86=0,0,1+(6*J86))",0
T1,O86,=N86*MinuteMO,0
T1,Q86,"=IF(J86=0,0,J86*VLOOKUP(E86,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R86,"=IF(J86=0,0,Q86*VLOOKUP(E86,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C87,"=IF(F87=0,0,D83)",0
T1,D87,"=IF(F86=0,0,D86)",0
T1,E87,"=VLOOKUP(C17,B142:Q148,12)",0
T1,F87,"=VLOOKUP(C17,B142:Q148,13)*2",0
T1,J87,"=IF(C87=0,0,(C87/100)*(D87/100)*F87)",0
T1,K87,=J87/0.8,0
T1,L87,"=IF(E87=0,0,VLOOKUP(E87,'Prix Matiere'!$A$4:$J$65,10))",0
T1,M87,=L87*K87,0
T1,N87,"=IF(J87=0,0,1+(6*J87))",0
T1,O87,=N87*MinuteMO,0
T1,Q87,"=IF(J87=0,0,J87*VLOOKUP(E87,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R87,"=IF(J87=0,0,Q87*VLOOKUP(E87,'Prix Matiere'!$A$4:$L$60,11))",0
T1,J88,"=IF(C88=0,0,(C88/100)*(D88/100)*F88)",0
T1,K88,=J88/0.8,0
T1,R88,"=IF(J88=0,0,Q88*VLOOKUP(E88,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C89,"=C83-VLOOKUP($C$17,B142:Q148,11)",110.2
T1,D89,"=D83-VLOOKUP($C$17,B142:Q148,11)",16
T1,E89,"=E83-VLOOKUP($C$17,B142:Q148,11)",110.2
T1,J89,"=IF(C89=0,0,(C89/100)*(D89/100)*F89)",0
T1,K89,=J89/0.8,0
T1,J90,"=IF(C90=0,0,(C90/100)*(D90/100)*F90)",0
T1,K90,=J90/0.8,0
T1,C92,"=IF(F92=0,0,C96+VLOOKUP($C$17,B142:Q148,14))",0
T1,D92,"=IF(F92=0,0,E96+VLOOKUP($C$17,B142:Q148,14))",0
T1,E92,"=VLOOKUP($C$17,B142:Q148,15)",0
T1,F92,"=VLOOKUP($C$17,B142:Q148,16)",0
T1,J92,"=IF(C92=0,0,(C92/100)*(D92/100)*F92)",0
T1,K92,=J92/0.8,0
T1,L92,"=IF(E92=0,0,VLOOKUP(E92,'Prix Matiere'!A4:J60,10))",0
T1,M92,=L92*K92,0
T1,N92,"=IF(J92=0,0,(3.94*J92)+5)",0
T1,O92,=N92*MinuteMO,0
T1,Q92,"=IF(J92=0,0,J92*VLOOKUP(E92,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R92,"=IF(J92=0,0,Q92*VLOOKUP(E92,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C93,"=IF(F93=0,0,C96+VLOOKUP($C$17,B142:Q148,14))",0
T1,D93,"=IF(F93=0,0,D96)",0
T1,E93,"=VLOOKUP($C$17,B142:Q148,15)",0
T1,F93,"=VLOOKUP($C$17,B142:Q148,16)",0
T1,J93,"=IF(C93=0,0,(C93/100)*(D93/100)*F93)",0
T1,K93,=J93/0.8,0
T1,L93,"=IF(E93=0,0,VLOOKUP(E93,'Prix Matiere'!A5:J61,10))",0
T1,M93,=L93*K93,0
T1,N93,"=IF(J93=0,0,(3.94*J93)+5)",0
T1,O93,=N93*MinuteMO,0
T1,Q93,"=IF(J93=0,0,J93*VLOOKUP(E93,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R93,"=IF(J93=0,0,Q93*VLOOKUP(E93,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C94,"=IF(F94=0,0,E96)",0
T1,D94,"=IF(F94=0,0,D96)",0
T1,E94,"=VLOOKUP($C$17,B142:Q148,15)",0
T1,F94,"=VLOOKUP($C$17,B142:Q148,16)",0
T1,J94,"=IF(C94=0,0,(C94/100)*(D94/100)*F94)",0
T1,K94,=J94/0.8,0
T1,L94,"=IF(E94=0,0,VLOOKUP(E94,'Prix Matiere'!A6:J62,10))",0
T1,M94,=L94*K94,0
T1,N94,"=IF(J94=0,0,(3.94*J94)+5)",0
T1,O94,=N94*MinuteMO,0
T1,Q94,"=IF(J94=0,0,J94*VLOOKUP(E94,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R94,"=IF(J94=0,0,Q94*VLOOKUP(E94,'Prix Matiere'!$A$4:$L$60,11))",0
T1,J95,"=IF(C95=0,0,(C95/100)*(D95/100)*F95)",0
T1,K95,=J95/0.8,0
T1,Q95,"=IF(J95=0,0,J95*VLOOKUP(E95,'Prix Matiere'!$A$4:$L$60,12))",0
T1,C96,"=C89-VLOOKUP($C$17,B142:Q148,14)",110.2
T1,D96,"=D89-VLOOKUP($C$17,B142:Q148,14)",16
T1,E96,"=E89-VLOOKUP($C$17,B142:Q148,14)",110.2
T1,J96,"=IF(C96=0,0,(C96/100)*(D96/100)*F96)",0
T1,K96,=J96/0.8,0
T1,J97,"=IF(C97=0,0,(C97/100)*(D97/100)*F97)",0
T1,K97,=J97/0.8,0
T1,J98,"=IF(C98=0,0,(C98/100)*(D98/100)*F98)",0
T1,K98,=J98/0.8,0
T1,J99,"=IF(C99=0,0,(C99/100)*(D99/100)*F99)",0
T1,K99,=J99/0.8,0
T1,B100,"=IF(B34=""Aucun"",0,""Dessus"")",Dessus
T1,C100,"=IF(B34=""Aucun"",0,C96)",110.2
T1,D100,"=IF(B34=""Aucun"",0,D29+VLOOKUP(B34,B169:M177,5))",16
T1,E100,"=VLOOKUP(B34,B169:M177,9)",PU 50 mm
T1,F100,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",2,IF(B34=""Entourage Stratocell 30 mm"",2,1)))",1
T1,J100,"=IF(C100=0,0,(C100/100)*(D100/100)*F100)",0.17632
T1,K100,=J100/0.8,0.22039999999999998
T1,L100,"=IF(E100=0,0,VLOOKUP(E100,'Prix Matiere'!$A$4:$J$65,10))",9.56701030927835
T1,M100,=L100*K100,2.1085690721649484
T1,N100,"=IF(J100=0,0,4.7283*J100+2)",2.833693856
T1,O100,=N100*MinuteMO,2.4086397776
T1,Q100,"=IF(J100=0,0,J100*VLOOKUP(E100,'Prix Matiere'!$A$4:$L$60,12))",0.2204
T1,R100,"=IF(J100=0,0,Q100*VLOOKUP(E100,'Prix Matiere'!$A$4:$L$60,11))",0.59508
T1,B101,"=IF(B34=""Aucun"",0,""Extrémité"")",Extrémité
T1,C101,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,IF(C29<60,10,IF(C29<80,15,20)))))",20
T1,D101,"=IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,D100))",16
T1,E101,"=IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,VLOOKUP(B34,B169:M177,9)))",PU 50 mm
T1,F101,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,2)))",2
T1,J101,"=IF(C101=0,0,(C101/100)*(D101/100)*F101)",0.064
T1,K101,=J101/0.8,0.08
T1,L101,"=IF(E101=0,0,VLOOKUP(E101,'Prix Matiere'!$A$4:$J$65,10))",9.56701030927835
T1,M101,=L101*K101,0.7653608247422681
T1,N101,"=IF(J101=0,0,4.7283*J101+2)",2.3026112
T1,O101,=N101*MinuteMO,1.9572195199999998
T1,Q101,"=IF(J101=0,0,J101*VLOOKUP(E101,'Prix Matiere'!$A$4:$L$60,12))",0.08
T1,R101,"=IF(J101=0,0,Q101*VLOOKUP(E101,'Prix Matiere'!$A$4:$L$60,11))",0.21600000000000003
T1,B102,"=IF(B34=""Aucun"",0,B38)",Ethafoam 50 mm
T1,C102,=C38,12
T1,D102,"=IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,D101))",16
T1,E102,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,IF(B102=""Ethafoam 50 mm"",""Ethafoam 50 mm"",""Agglocelle 50 mm""))))",Ethafoam 50 mm
T1,F102,=F38,2
T1,J102,"=IF(C102=0,0,(C102/100)*(D102/100)*F102)",0.0384
T1,K102,=J102/0.8,0.047999999999999994
